model,accuracy,precision_0,recall_0,precision_1,recall_1,f1_1,auc
logreg,0.6813333333333333,0.8216970998925887,0.7103064066852368,0.45166959578207383,0.607565011820331,0.5181451612903226,0.753926391276003
random_forest,0.7686666666666667,0.7723880597014925,0.9610027855153204,0.7375,0.2789598108747045,0.40480274442538594,0.7601142302736567
